;band_name;album_link
0;byrne and kelly;https://www.cdbaby.com/cd/byrneandkelly8
1;richie kotzen;https://www.cdbaby.com/cd/richiekotzen15
2;two steps from hell;https://www.cdbaby.com/cd/twostepsfromhell112
3;it's a beautiful day;https://www.cdbaby.com/cd/itsabeautifulday8
4;miguel zenón;https://www.cdbaby.com/cd/miguelzenon1
5;joshua radin;https://www.cdbaby.com/cd/joshuaradin
6;ninja sex party;https://www.cdbaby.com/cd/ninjasexparty17
7;little miss ann;https://www.cdbaby.com/cd/littlemissann6
8;thomas bergersen;https://www.cdbaby.com/cd/thomasbergersen
9;andy timmons band;https://www.cdbaby.com/cd/andytimmonsband5
10;hap palmer;https://www.cdbaby.com/cd/happalmer15
11;timothy b. schmit;https://www.cdbaby.com/cd/timothybschmit2
12;striker;https://www.cdbaby.com/cd/striker4
13;craig pruess & ananda;https://www.cdbaby.com/cd/craigpruess3
14;kelly judge;https://www.cdbaby.com/cd/kellyjudge
15;klassik '78;https://www.cdbaby.com/cd/klassik78
16;brian lynch;https://www.cdbaby.com/cd/brianlynch12
17;anita moorjani & barry goldstein;https://www.cdbaby.com/cd/heavenmeditations
18;william appling;https://www.cdbaby.com/cd/williamappling2
19;marc ford & the neptune blues club;https://www.cdbaby.com/cd/marcford3
20;rolie polie guacamole;https://www.cdbaby.com/cd/roliepolieguacamole4
21;rising appalachia;https://www.cdbaby.com/cd/risingappalachia3
22;justin johnson;https://www.cdbaby.com/cd/justinjohnson42
23;leonid & friends;https://www.cdbaby.com/cd/leonidfriends2
24;home free a tribute to american veterans;https://www.cdbaby.com/cd/ricklance2
25;deborah katchko-gray;https://www.cdbaby.com/cd/deborahkatchkogray2
26;swami cat;https://www.cdbaby.com/cd/swamicat
27;thornetta davis;https://www.cdbaby.com/cd/thornettadavis5
28;tom wallace;https://www.cdbaby.com/cd/song8
29;beth hart and the ocean of souls;https://www.cdbaby.com/cd/bethhartandtheoceanofsouls
30;claude m. bristol;https://www.cdbaby.com/cd/claudembristol1
31;the whispers - old school;https://www.cdbaby.com/cd/whispers4
32;george curran;https://www.cdbaby.com/cd/georgecurran1
33;elftones & rhiannon giddens;https://www.cdbaby.com/cd/elftones4
34;delinquent habits;https://www.cdbaby.com/cd/delinquenthabits23
35;u-nam;https://www.cdbaby.com/cd/unam1
36;brother dege;https://www.cdbaby.com/cd/BrotherDege
37;frank carlberg large ensemble;https://www.cdbaby.com/cd/frankcarlberglargeensemb
38;the texas tenors;https://www.cdbaby.com/cd/thetexastenors7
39;walter beasley;https://www.cdbaby.com/cd/walterbeasley18
40;regina spektor;https://www.cdbaby.com/cd/spektor2
41;sawyer fredericks;https://www.cdbaby.com/cd/sawyerfredericks
42;dhanpal-donna quesada;https://www.cdbaby.com/cd/dhanpaldonnaquesada2
43;laith al-saadi;https://www.cdbaby.com/cd/laithalsaadi3
44;jawga boyz;https://www.cdbaby.com/cd/jawgaboyz3
45;michael stanley;https://www.cdbaby.com/cd/michaelstanley117
46;damian mcginty;https://www.cdbaby.com/cd/damianmcginty
47;dayna stephens;https://www.cdbaby.com/cd/daynastephens4
48;keith munslow & bridget brewer;https://www.cdbaby.com/cd/keithmunslowandbridgetbr
49;frances catherine ihling;https://www.cdbaby.com/cd/francescatherineihling7
50;light in babylon;https://www.cdbaby.com/cd/lightinbabylon2
51;neil byrne & ryan kelly;https://www.cdbaby.com/cd/neilbyrneandryankelly
52;ken schaphorst big band;https://www.cdbaby.com/cd/kenschaphorstbigband
53;the quebe sisters;https://www.cdbaby.com/cd/thequebesisters3
54;john tussey;https://www.cdbaby.com/cd/johntussey10
55;mark whitfield;https://www.cdbaby.com/cd/markwhitfield
56;evership;https://www.cdbaby.com/cd/evership
57;jose lugo & guasábara combo;https://www.cdbaby.com/cd/joselugoguasabaracombo1
58;martha and the muffins;https://www.cdbaby.com/cd/marthaandthemuffins4
59;ben sidran;https://www.cdbaby.com/cd/bensidran6
60;starbomb;https://www.cdbaby.com/cd/starbomb
61;jane monheit;https://www.cdbaby.com/cd/janemonheit2
62;well-strung;https://www.cdbaby.com/cd/wellstrung32
63;liveconnections;https://www.cdbaby.com/cd/liveconnections
64;johnny burgin;https://www.cdbaby.com/cd/johnnyburgin
65;rockin' ron the friendly pirate;https://www.cdbaby.com/cd/rockinronthefriendlypira
66;the subdudes;https://www.cdbaby.com/cd/thesubdudes12
67;texas hippie coalition;https://www.cdbaby.com/cd/texashippiecoalition1
68;kitty cleveland;https://www.cdbaby.com/cd/kittycleveland5
69;danny barnes;https://www.cdbaby.com/cd/dannybarnes3
70;mister cooper;https://www.cdbaby.com/cd/mistercooper7
71;dean jones;https://www.cdbaby.com/cd/deanjones7
72;bonnie groessl;https://www.cdbaby.com/cd/bonniegroessl4
73;shaman's harvest;https://www.cdbaby.com/cd/shamansharvest09
74;miss carole;https://www.cdbaby.com/cd/misscarolestephens1
75;bizzle;https://www.cdbaby.com/cd/bizzle13
76;lydia walker;https://www.cdbaby.com/cd/lydiawalker9
77;nina massara;https://www.cdbaby.com/cd/ninamassara
78;tommy talton;https://www.cdbaby.com/cd/tommytalton14
79;chillaxing jazz kollektion;https://www.cdbaby.com/cd/chillaxingjazzkollektion4
80;skyhill;https://www.cdbaby.com/cd/skyhill
81;christian relaxation & meditation on scripture;https://www.cdbaby.com/cd/madisondrive
82;don francisco;https://www.cdbaby.com/cd/donfrancisco5
83;vincent ingala;https://www.cdbaby.com/cd/vincentingala2
84;terry wright;https://www.cdbaby.com/cd/terrywright1
85;scott henderson;https://www.cdbaby.com/cd/scotthenderson
