;band_name;album_link
0;joe stickley's blue print;https://www.cdbaby.com/cd/jsblueprint
1;jonathan singleton, bruce wallace, ted jones, sergio webb;https://www.cdbaby.com/cd/jsbwtjsw
2;jsc;https://www.cdbaby.com/cd/jsc
3;jonathan stout and his campus five, featuring hilary alexander;https://www.cdbaby.com/cd/jscampusfive
4;jonathan snow carpenter;https://www.cdbaby.com/cd/jscarpenter
5;jon schmidt;https://www.cdbaby.com/cd/jschmidt1
6;jeremy schonfeld;https://www.cdbaby.com/cd/jschonfeld
7;jerry schroeder;https://www.cdbaby.com/cd/jschroeder
8;jamie smith, colette o'leary & brian kelly;https://www.cdbaby.com/cd/jscolbk
9;j scott franklin;https://www.cdbaby.com/cd/jscottfranklin
10;kp;https://www.cdbaby.com/cd/kp06
11;k p;https://www.cdbaby.com/cd/kp2
12;k. page & sleepwalker's parade;https://www.cdbaby.com/cd/kpagesp
13;kendall payne;https://www.cdbaby.com/cd/kpayne3
14;kevin patrick baiko;https://www.cdbaby.com/cd/kpb
15;kp devlin;https://www.cdbaby.com/cd/kpdevlin2
16;katherine peterson;https://www.cdbaby.com/cd/kpeterson
17;kristine pettersen;https://www.cdbaby.com/cd/kpettersen
18;kurt patrick geier;https://www.cdbaby.com/cd/kpgeier
19;kathy phillips;https://www.cdbaby.com/cd/kphillips
20;katie pickett lawyer;https://www.cdbaby.com/cd/kplawyer
21;kally price and the lazybirds;https://www.cdbaby.com/cd/kplazybirds
22;kevin porter;https://www.cdbaby.com/cd/kporter
23;mark berube;https://www.cdbaby.com/cd/markberube
24;mark berube and the patriotic few;https://www.cdbaby.com/cd/markberube3
25;mark beshara;https://www.cdbaby.com/cd/markbeshara
26;mark biech;https://www.cdbaby.com/cd/markbiech
27;mark binder;https://www.cdbaby.com/cd/markbinder
28;mark birnbaum;https://www.cdbaby.com/cd/markbirnbaum
29;mark wolfe;https://www.cdbaby.com/cd/markblackwell
30;mark booker;https://www.cdbaby.com/cd/markbooker
31;mark bouchett;https://www.cdbaby.com/cd/markbouchett3
32;mark bower;https://www.cdbaby.com/cd/markbower
33;dan gifford;https://www.cdbaby.com/cd/lazarus
34;koshka raenelle;https://www.cdbaby.com/cd/koshkar
35;rob kosinski;https://www.cdbaby.com/cd/kosinski
36;kosinski and zeretzke;https://www.cdbaby.com/cd/kosinskizeretzke
