index;band_name;album_link
0;byrne and kelly;https://www.cdbaby.com/cd/byrneandkelly8
1;richie kotzen;https://www.cdbaby.com/cd/richiekotzen15
2;two steps from hell;https://www.cdbaby.com/cd/twostepsfromhell112
3;it's a beautiful day;https://www.cdbaby.com/cd/itsabeautifulday8
4;miguel zenón;https://www.cdbaby.com/cd/miguelzenon1
5;joshua radin;https://www.cdbaby.com/cd/joshuaradin
6;ninja sex party;https://www.cdbaby.com/cd/ninjasexparty17
7;little miss ann;https://www.cdbaby.com/cd/littlemissann6
8;thomas bergersen;https://www.cdbaby.com/cd/thomasbergersen
9;andy timmons band;https://www.cdbaby.com/cd/andytimmonsband5
10;hap palmer;https://www.cdbaby.com/cd/happalmer15
11;timothy b. schmit;https://www.cdbaby.com/cd/timothybschmit2
12;striker;https://www.cdbaby.com/cd/striker4
13;craig pruess & ananda;https://www.cdbaby.com/cd/craigpruess3
14;kelly judge;https://www.cdbaby.com/cd/kellyjudge
15;klassik '78;https://www.cdbaby.com/cd/klassik78
16;brian lynch;https://www.cdbaby.com/cd/brianlynch12
17;jennifer thomas;https://www.cdbaby.com/cd/jenniferthomas2
18;wendell b;https://www.cdbaby.com/cd/wendellb12
19;anita moorjani & barry goldstein;https://www.cdbaby.com/cd/heavenmeditations
20;william appling;https://www.cdbaby.com/cd/williamappling2
21;marc ford & the neptune blues club;https://www.cdbaby.com/cd/marcford3
22;rolie polie guacamole;https://www.cdbaby.com/cd/roliepolieguacamole4
23;rising appalachia;https://www.cdbaby.com/cd/risingappalachia3
24;justin johnson;https://www.cdbaby.com/cd/justinjohnson42
25;leonid & friends;https://www.cdbaby.com/cd/leonidfriends2
26;home free a tribute to american veterans;https://www.cdbaby.com/cd/ricklance2
27;deborah katchko-gray;https://www.cdbaby.com/cd/deborahkatchkogray2
28;swami cat;https://www.cdbaby.com/cd/swamicat
29;thornetta davis;https://www.cdbaby.com/cd/thornettadavis5
30;tom wallace;https://www.cdbaby.com/cd/song8
31;beth hart and the ocean of souls;https://www.cdbaby.com/cd/bethhartandtheoceanofsouls
32;claude m. bristol;https://www.cdbaby.com/cd/claudembristol1
33;the whispers - old school;https://www.cdbaby.com/cd/whispers4
34;george curran;https://www.cdbaby.com/cd/georgecurran1
35;elftones & rhiannon giddens;https://www.cdbaby.com/cd/elftones4
36;delinquent habits;https://www.cdbaby.com/cd/delinquenthabits23
37;u-nam;https://www.cdbaby.com/cd/unam1
38;joe inoue;https://www.cdbaby.com/cd/joeinoue5
39;kelley mooney;https://www.cdbaby.com/cd/kelleymooney
40;brother dege;https://www.cdbaby.com/cd/BrotherDege
41;frank carlberg large ensemble;https://www.cdbaby.com/cd/frankcarlberglargeensemb
42;the texas tenors;https://www.cdbaby.com/cd/thetexastenors7
43;walter beasley;https://www.cdbaby.com/cd/walterbeasley18
44;regina spektor;https://www.cdbaby.com/cd/spektor2
45;sawyer fredericks;https://www.cdbaby.com/cd/sawyerfredericks
46;dhanpal-donna quesada;https://www.cdbaby.com/cd/dhanpaldonnaquesada2
47;laith al-saadi;https://www.cdbaby.com/cd/laithalsaadi3
48;jawga boyz;https://www.cdbaby.com/cd/jawgaboyz3
49;michael stanley;https://www.cdbaby.com/cd/michaelstanley117
50;damian mcginty;https://www.cdbaby.com/cd/damianmcginty
51;dayna stephens;https://www.cdbaby.com/cd/daynastephens4
52;keith munslow & bridget brewer;https://www.cdbaby.com/cd/keithmunslowandbridgetbr
53;frances catherine ihling;https://www.cdbaby.com/cd/francescatherineihling7
54;light in babylon;https://www.cdbaby.com/cd/lightinbabylon2
55;neil byrne & ryan kelly;https://www.cdbaby.com/cd/neilbyrneandryankelly
56;ken schaphorst big band;https://www.cdbaby.com/cd/kenschaphorstbigband
57;the quebe sisters;https://www.cdbaby.com/cd/thequebesisters3
58;john tussey;https://www.cdbaby.com/cd/johntussey10
59;mark whitfield;https://www.cdbaby.com/cd/markwhitfield
60;evership;https://www.cdbaby.com/cd/evership
61;jose lugo & guasábara combo;https://www.cdbaby.com/cd/joselugoguasabaracombo1
62;martha and the muffins;https://www.cdbaby.com/cd/marthaandthemuffins4
63;ben sidran;https://www.cdbaby.com/cd/bensidran6
64;starbomb;https://www.cdbaby.com/cd/starbomb
65;jane monheit;https://www.cdbaby.com/cd/janemonheit2
66;well-strung;https://www.cdbaby.com/cd/wellstrung32
67;liveconnections;https://www.cdbaby.com/cd/liveconnections
68;johnny burgin;https://www.cdbaby.com/cd/johnnyburgin
69;rockin' ron the friendly pirate;https://www.cdbaby.com/cd/rockinronthefriendlypira
70;the subdudes;https://www.cdbaby.com/cd/thesubdudes12
71;texas hippie coalition;https://www.cdbaby.com/cd/texashippiecoalition1
72;kitty cleveland;https://www.cdbaby.com/cd/kittycleveland5
73;zack hemsey;https://www.cdbaby.com/cd/zackhemsey2
74;adrian von ziegler;https://www.cdbaby.com/cd/adrianvonziegler9
75;danny barnes;https://www.cdbaby.com/cd/dannybarnes3
76;mister cooper;https://www.cdbaby.com/cd/mistercooper7
77;dean jones;https://www.cdbaby.com/cd/deanjones7
78;bonnie groessl;https://www.cdbaby.com/cd/bonniegroessl4
79;shaman's harvest;https://www.cdbaby.com/cd/shamansharvest09
80;miss carole;https://www.cdbaby.com/cd/misscarolestephens1
81;bizzle;https://www.cdbaby.com/cd/bizzle13
82;lydia walker;https://www.cdbaby.com/cd/lydiawalker9
83;nina massara;https://www.cdbaby.com/cd/ninamassara
84;tommy talton;https://www.cdbaby.com/cd/tommytalton14
85;chillaxing jazz kollektion;https://www.cdbaby.com/cd/chillaxingjazzkollektion4
